Date,VKOSPI,KOSPI200,Open_interest,For_KOSPI_Netbuying_Amount,For_Future_Netbuying_Quantity,For_Call_Netbuying_Quantity,For_Put_Netbuying_Quantity,Indiv_Future_Netbuying_Quantity,Indiv_Call_Netbuying_Quantity,Indiv_Put_Netbuying_Quantity,PCRatio,Day_till_expiration,Day_of_a_week
2012-06-05,24.95,236.3,4031459,-3.2E+11,605,17330,-4660,1311,-31058,20580,0.77,1,Tue
2012-06-07,23.55,238.79,4198315,3.08E+11,3112,-18414,-3750,-1784,-55306,148578,0.65,0,Thu
2012-06-08,23.86,245.51,4308128,5684483367,-76,7678,32940,114,34450,15634,1.01,24,Fri
2012-06-11,22.76,243.69,4383164,2.19E+11,-3678,-16297,5005,2019,30985,147834,0.86,23,Mon
2012-06-12,23.79,248.3,4574540,-39061594605,-1106,-14830,48419,379,97951,80881,0.87,22,Tue
2012-06-13,24.23,246.43,4719993,1.57E+11,2202,-4876,26633,-2417,36795,71385,1.14,21,Wed
2012-06-14,24.69,247.08,4788625,76685353348,309,-1011,5211,5746,134560,213608,1.01,20,Thu
2012-06-15,25.61,248.62,269966,-2.01E+11,1583,-1678,2933,1435,7206,-3743,0.99,19,Fri
2012-06-18,21.97,246.57,354867,3.75E+11,-330,6043,-1674,1856,-4465,-1611,0.89,18,Mon
2012-06-19,21.33,251.37,434897,1.93E+11,888,-2101,-4885,-1303,7429,2962,0.81,17,Tue
2012-06-20,20.58,251.31,467365,2.36E+11,-1763,6659,3257,439,-4374,-3621,0.95,16,Wed
2012-06-21,19.79,252.92,535691,26191014263,-299,-6107,-783,645,19244,674,0.77,15,Thu
2012-06-22,21.06,250.46,574512,-2.4E+11,-16464,-4334,6312,6269,30424,-15625,0.85,14,Fri
2012-06-25,21.55,244.15,640219,-4.98E+11,-1979,-6143,1841,-2922,17504,375,0.8,13,Mon
2012-06-26,21.5,240.75,674047,-3.03E+11,-606,2280,-4586,1092,5168,4615,0.59,12,Tue
2012-06-27,20.93,239.68,708792,-2.41E+11,398,3037,-704,-1063,1063,3668,0.62,11,Wed
2012-06-28,20.89,239.85,746362,-62310534140,105,-2852,-1595,154,-4514,1725,0.64,10,Thu
